iter	Logloss
0	0.6822257963
1	0.6699221366
2	0.6569851298
3	0.64528977
4	0.63439833
5	0.6252103739
6	0.6165334685
7	0.6091155154
8	0.6013930101
9	0.5952375165
10	0.5886317524
11	0.5810042445
12	0.5755852366
13	0.5696030222
14	0.5643281501
15	0.5577263449
16	0.552845687
17	0.5480933411
18	0.5442611349
19	0.5392890352
20	0.5342335626
21	0.5303563313
22	0.5260884104
23	0.5218889663
24	0.5180735037
25	0.5142239677
26	0.5109516212
27	0.5086012684
28	0.5063393114
29	0.5043180655
30	0.5020721877
31	0.4998146512
32	0.4978584852
33	0.4958864501
34	0.4935143697
35	0.491104125
36	0.4891690062
37	0.4875360248
38	0.4860068364
39	0.4845760058
40	0.4828364268
41	0.4815244201
42	0.4796268202
43	0.4781557506
44	0.4767853894
45	0.4757645304
46	0.474511083
47	0.4728533129
48	0.4715226136
49	0.4705131395
50	0.4693628883
51	0.467777181
52	0.4671410306
53	0.4660162081
54	0.4646614818
55	0.4633922718
56	0.462102842
57	0.4611395165
58	0.459966544
59	0.4590618563
60	0.4580686234
61	0.4574603737
62	0.4565255444
63	0.4558745491
64	0.4552921532
65	0.4544137712
66	0.4538148595
67	0.4529341305
68	0.4522457652
69	0.4515267833
70	0.4507772409
71	0.4501604134
72	0.4496711471
73	0.4487997787
74	0.4480666125
75	0.4473901074
76	0.4469820183
77	0.4462456192
78	0.4456899368
79	0.4452408161
80	0.444661282
81	0.4441933457
82	0.4436156564
83	0.443223882
84	0.442539917
85	0.4420693601
86	0.4415397324
87	0.4409645346
88	0.4405846837
89	0.4402046864
90	0.4398458554
91	0.439424023
92	0.4390655547
93	0.4386734168
94	0.4382454573
95	0.4379752025
96	0.437571786
97	0.4370824498
98	0.4367472747
99	0.4363410003
100	0.4359151962
101	0.435598685
102	0.4352733828
103	0.4349519675
104	0.4345753204
105	0.4343749722
106	0.4342025083
107	0.4339641041
108	0.4337127866
109	0.4334316567
110	0.4330924614
111	0.4328233862
112	0.4325288668
113	0.4322402389
114	0.431926231
115	0.4316489634
116	0.4314106347
117	0.4311128284
118	0.4309103701
119	0.4306889333
120	0.4305107451
121	0.4303194751
