iter	Logloss
122	0.4300975885
123	0.4299203517
124	0.4297639154
125	0.4295564828
126	0.4293041548
127	0.4291138182
128	0.4288863571
129	0.4286790412
130	0.4284541899
131	0.4282924665
132	0.4280945838
133	0.4278511771
134	0.4276625437
135	0.4274787073
136	0.4273489356
137	0.4271831904
138	0.4269426028
139	0.4267477079
140	0.426541175
141	0.4262802666
142	0.4261058772
143	0.4259360949
144	0.4257345115
145	0.4254997963
146	0.4252731538
147	0.4251123882
148	0.4249331644
149	0.4246885513
150	0.4243617576
151	0.4242171616
152	0.4240859707
153	0.4239449596
154	0.4237196902
155	0.423616576
156	0.4235212089
157	0.4233069492
158	0.4231455256
159	0.4229329161
160	0.4227756102
161	0.4226217602
162	0.4224589813
163	0.4223140435
164	0.4221866522
165	0.4220036636
166	0.4218862676
167	0.4217634542
168	0.4216459217
169	0.4215099438
170	0.4213343347
171	0.4212189938
172	0.4211339142
173	0.4209044598
174	0.4207753549
175	0.420653917
176	0.420642345
177	0.4205468049
178	0.4204059736
179	0.4202552357
180	0.4201526024
181	0.4200035429
182	0.4198432214
183	0.4197064965
184	0.4195706786
185	0.4193676872
186	0.419268583
187	0.4191118392
188	0.4189906887
189	0.4188850361
190	0.4187739876
191	0.418640725
192	0.4185733531
193	0.4184698552
194	0.4183252652
195	0.4181666994
196	0.4179655848
197	0.4179355062
198	0.4177960081
199	0.4177205672
200	0.4176171435
201	0.4175271538
202	0.4173569556
203	0.4172562914
204	0.4171327339
205	0.4170350277
206	0.4169556878
207	0.4168610108
208	0.4167372438
209	0.4166596812
210	0.4165138619
211	0.4163900219
212	0.4163642949
213	0.4162207208
214	0.4161441064
215	0.4160010356
216	0.4159020897
217	0.4155964147
218	0.4154918797
219	0.415407469
220	0.4152111289
221	0.4150315823
222	0.4149282571
223	0.4147952288
224	0.4147056508
225	0.4146241226
226	0.4145233481
227	0.4144295464
228	0.4143507624
229	0.4142136993
230	0.4140160102
231	0.4139125429
232	0.4138356982
233	0.4137056053
234	0.4135929562
235	0.4135176313
236	0.4134422803
237	0.4133314578
238	0.4132188655
239	0.4130730254
240	0.4129357942
241	0.4127501039
242	0.4126102928
243	0.4124923953
244	0.4123182811
245	0.4122400944
246	0.4121385658
247	0.4120562363
248	0.4119482388
249	0.4118936385
250	0.4118175966
251	0.4117340474
252	0.4116799506
253	0.4115883879
254	0.4115045833
255	0.4113873552
256	0.4112378236
257	0.4110775614
258	0.4110044654
259	0.4109077972
260	0.410806284
261	0.4106897273
262	0.4105442944
263	0.4104586027
264	0.4103619613
265	0.4102616386
266	0.4102011303
267	0.4100028513
268	0.4099060864
269	0.4097976204
270	0.4097347888
271	0.4096132128
272	0.4095362856
273	0.4094506276
274	0.4093588856
275	0.4092236291
276	0.409116742
277	0.409015244
278	0.4089347163
279	0.4088069882
280	0.4086678346
281	0.4085431384
282	0.4083948557
283	0.4083043122
284	0.4082478618
285	0.4081671748
286	0.4081050759
287	0.4080377535
288	0.4079554814
289	0.4078700301
290	0.4078177885
291	0.407709381
292	0.4076368449
293	0.4075701714
294	0.4074600141
295	0.4072229224
296	0.4071584316
297	0.4070786723
298	0.4069864429
299	0.4069430172
300	0.4068145644
301	0.4067186834
302	0.4066009515
303	0.406505915
304	0.4063939112
305	0.4063198804
306	0.4062082704
307	0.4060999717
308	0.4060324365
309	0.4059775003
310	0.4059098906
311	0.4058303832
312	0.4057344315
313	0.4056991565
314	0.4056098236
315	0.4054741394
316	0.4053947632
317	0.4053014572
318	0.4052613786
319	0.4051716449
320	0.4050706995
321	0.4050009318
322	0.4049066196
323	0.4048346667
324	0.4047171794
325	0.4046423254
326	0.4045486207
327	0.404395331
328	0.4043161213
329	0.4042286624
330	0.4041092402
331	0.4039759169
332	0.4039127979
333	0.4038443854
334	0.4036376531
335	0.4035667942
336	0.4034734416
337	0.4033799212
338	0.4032768486
339	0.4031837517
340	0.4030455201
341	0.4029361541
342	0.4028455543
343	0.402708072
344	0.4026488901
345	0.4024801108
346	0.4024242786
347	0.4023429634
348	0.4022780885
349	0.4021437295
350	0.4020883327
351	0.4020151902
352	0.4019265115
353	0.4018512323
354	0.4017708499
355	0.4016962455
356	0.4015350334
357	0.4013994396
358	0.4012607006
359	0.4011777841
360	0.4010114908
361	0.40083818
362	0.4007681369
363	0.4006154123
364	0.4005123697
365	0.4004334492
366	0.4003439953
367	0.4002730535
368	0.4001376013
369	0.4000802525
370	0.3999875163
371	0.3998885157
372	0.3998043184
373	0.3997271413
374	0.3996199127
375	0.3995246205
376	0.3994313056
377	0.3992916963
378	0.3991858105
379	0.3990381387
380	0.3989401234
381	0.3988601981
382	0.3987777045
383	0.3986766233
384	0.3985554652
385	0.3984542749
386	0.3983667912
387	0.3982382198
388	0.3981699126
389	0.3980423226
390	0.3979448103
391	0.397857467
392	0.3977576443
393	0.3976137364
394	0.3975295384
395	0.3974269953
396	0.3973609591
397	0.3972786132
398	0.397144276
399	0.397099144
400	0.3970287071
401	0.3969416745
402	0.396878846
403	0.3967312311
404	0.396588192
405	0.3964698987
406	0.3964110563
407	0.3963293849
408	0.3962277822
409	0.3961531624
410	0.3960876127
411	0.3960036098
412	0.3958468403
413	0.3957873182
414	0.3957195205
415	0.395658627
416	0.3954987384
417	0.395426506
418	0.3952686705
419	0.3951804006
420	0.3950840427
421	0.3949549656
422	0.3948602608
423	0.3947707535
424	0.3946541972
425	0.3945361283
426	0.3944257841
427	0.3943404059
428	0.3942497438
429	0.3941721186
430	0.3940894947
431	0.3940170929
432	0.3939243343
433	0.3937859326
434	0.3936578941
435	0.3935395858
436	0.3934271625
437	0.3933631853
438	0.3932270307
439	0.3931193257
440	0.3930136153
441	0.3928796792
442	0.3928028096
443	0.3927591942
444	0.3925859117
445	0.3925023324
446	0.3923914471
447	0.3922469288
448	0.3921849758
449	0.392100392
450	0.3919954954
451	0.3918247121
452	0.3917661749
453	0.391675318
454	0.3915790162
455	0.3914476919
456	0.3913493275
457	0.3912212327
458	0.3911493602
459	0.3910743133
460	0.3909076367
461	0.3908451766
462	0.3907906083
463	0.3906897553
464	0.390491027
465	0.3904166025
466	0.3902864221
467	0.3901926753
468	0.3901179703
469	0.3900257933
470	0.389940986
471	0.3898065155
472	0.3896905737
473	0.3896131163
474	0.3895739386
475	0.389400291
476	0.3893235591
477	0.3892442189
478	0.3891604955
479	0.3890314944
480	0.3889685849
481	0.38885223
482	0.38876448
483	0.3886650319
484	0.3885530033
485	0.3884860768
486	0.3883650026
487	0.3882594298
488	0.3881265605
489	0.3880149793
490	0.3879147045
491	0.3878232887
492	0.3877274925
493	0.3875655796
494	0.3874829507
495	0.3873975163
496	0.387256219
497	0.3871300902
498	0.3869400141
499	0.3868656451
500	0.3868027354
501	0.386673827
502	0.3865391032
503	0.386445486
504	0.3863250585
505	0.3862348528
506	0.386082198
507	0.3860084754
508	0.3859107946
509	0.3857854023
510	0.3856955871
511	0.3855954367
512	0.385543536
513	0.385469841
514	0.3853710488
515	0.3853009486
516	0.3852344379
517	0.3851193184
518	0.385040731
519	0.3849963291
520	0.3849097442
521	0.3848284111
522	0.3847335693
523	0.3846546785
524	0.384549052
525	0.3844908042
526	0.3843945019
527	0.3842630625
528	0.3841442356
529	0.3840221236
530	0.3838987189
531	0.3837859864
532	0.3836739287
533	0.3835878777
534	0.3835037068
535	0.3834261548
536	0.3832826704
537	0.3832120095
538	0.3831113253
539	0.383030414
540	0.38286022
541	0.3827309345
542	0.3826330871
543	0.3825761871
544	0.3824585676
545	0.3823767005
546	0.3822957325
547	0.3822191439
548	0.3820923131
549	0.3819650055
550	0.3819130181
551	0.3818371879
552	0.381688255
553	0.3816201772
554	0.3815719271
555	0.381509916
556	0.3814340563
557	0.3813559785
558	0.3812600123
559	0.3812026624
560	0.3811492448
561	0.3810722332
562	0.3810110623
563	0.3809061668
564	0.3807847858
565	0.3807171582
566	0.3806212496
567	0.3804503783
568	0.3803315787
569	0.3802114039
570	0.3801512973
571	0.380097908
572	0.3800499392
573	0.3799872541
574	0.3799086443
575	0.3798291385
576	0.3797133733
577	0.3796592882
578	0.3795974452
579	0.3794958613
580	0.3793475458
581	0.3792663241
582	0.3791334244
583	0.3790172102
584	0.3789541312
585	0.3787974349
586	0.3787191337
587	0.3785539656
588	0.3784471572
589	0.3783281055
590	0.378277069
591	0.3782059306
592	0.3781197374
593	0.3780395555
594	0.3779917552
595	0.3779324397
596	0.3778764664
597	0.377785851
598	0.3777008662
599	0.3775954937
600	0.3775440393
601	0.3774281612
602	0.3773646611
603	0.3773123968
604	0.3772413966
605	0.3771878666
606	0.3771050157
607	0.3770332586
608	0.3769026927
609	0.3768118402
610	0.3767532836
611	0.37666434
612	0.3765953074
613	0.3765163048
614	0.3763891093
615	0.3763028063
616	0.3762030491
617	0.3761451935
618	0.3760429659
619	0.3759698333
620	0.3759148992
621	0.3758546852
622	0.3757668912
623	0.3756922418
624	0.3755818973
625	0.3754938518
626	0.3754062843
627	0.3753557854
628	0.3752679647
629	0.3752087061
630	0.3751314464
631	0.3750537064
632	0.3749694524
633	0.3749143498
634	0.3748479564
635	0.3747867883
636	0.3746845029
637	0.3746292878
638	0.3745543864
639	0.3744511183
640	0.3743146835
641	0.3742827513
642	0.3741256114
643	0.3740555736
644	0.3739748015
645	0.3738520434
646	0.3737733211
647	0.37366264
648	0.3735946469
649	0.3734624799
650	0.3733148389
651	0.3732492894
652	0.3731435499
653	0.3730200059
654	0.3729294932
655	0.3728042354
656	0.3727224797
657	0.3726023042
658	0.3725222346
659	0.3724800756
660	0.3723964391
661	0.3723033946
662	0.3722211627
663	0.3721728296
664	0.3720731282
665	0.3720142065
666	0.371966799
667	0.3718968679
668	0.371773745
669	0.3716971576
670	0.3716486831
671	0.3716084374
672	0.3715201393
673	0.3714520605
674	0.3713895975
675	0.3712668103
676	0.371166155
677	0.3710990891
678	0.3709810492
679	0.370947207
680	0.3708407665
681	0.3707444637
682	0.3706797284
683	0.370629541
684	0.3705676146
685	0.3704880216
686	0.3704303351
687	0.3703250738
688	0.370246183
689	0.3701871772
690	0.3700505112
691	0.3700113603
692	0.3699392944
693	0.3698594778
694	0.3697861204
695	0.3696708812
696	0.3695652828
697	0.3694715367
698	0.3693749254
699	0.3693362805
700	0.3692244472
701	0.3691571566
702	0.3690806488
703	0.3690082181
704	0.3689354939
705	0.3688526432
706	0.3687437304
707	0.3686154978
708	0.3685414117
709	0.3684445757
710	0.3684015178
711	0.3683094276
712	0.3682286
713	0.3681820045
714	0.3681243477
715	0.3680913201
716	0.3680204356
717	0.3679512641
718	0.3678848155
719	0.3678267074
720	0.3677157166
721	0.3676410666
722	0.3675564473
723	0.3674429567
724	0.3673455033
725	0.3673038805
726	0.3672319005
727	0.3671324245
728	0.3670677446
729	0.3669275751
730	0.3668890143
731	0.3667927115
732	0.3667272752
733	0.3666490025
734	0.366561463
735	0.3664078658
736	0.3663126586
737	0.3662652797
738	0.3661763912
739	0.3660701997
740	0.3659242437
741	0.3658455505
742	0.3658001021
743	0.3657394954
744	0.3656407998
745	0.3655856969
746	0.3655375608
747	0.3654756913
748	0.3654042439
749	0.3653598104
750	0.3652646869
751	0.3652121133
752	0.3651058409
753	0.3650026867
754	0.3649043331
755	0.3648327409
756	0.3647503968
757	0.3646649637
758	0.3646221907
759	0.364561162
760	0.3645031336
761	0.3644162947
762	0.3643602377
763	0.3642917952
764	0.364202879
765	0.3641246065
766	0.3640555755
767	0.3639619969
768	0.3639276214
769	0.3638027308
770	0.3637706859
771	0.3637122707
772	0.3636895498
773	0.3636446987
774	0.3635651063
775	0.3635148328
776	0.3634495616
777	0.3633330939
778	0.3632769236
779	0.3632241524
780	0.3631514421
781	0.3630888704
782	0.3630389354
783	0.3629799883
784	0.3628733228
785	0.3627908088
786	0.3627234913
787	0.3626322157
788	0.3625327678
789	0.3624495249
790	0.3623910528
791	0.3623307829
792	0.3622008929
793	0.3621397529
794	0.3620668451
795	0.3620037361
796	0.3619421744
797	0.3618831556
798	0.3618359163
799	0.3617754498
800	0.3617161639
801	0.3616312625
802	0.3615663307
803	0.3614792133
804	0.3613760608
805	0.3612928736
806	0.3612468704
807	0.3611727546
808	0.361135823
809	0.361055276
810	0.3610346898
811	0.3609931739
812	0.36088954
813	0.3607857941
814	0.360706902
815	0.3606292754
816	0.3605419318
817	0.3604937939
818	0.3604259909
819	0.3603455533
820	0.3602769986
821	0.3601128951
822	0.3600284721
823	0.359967613
824	0.3598510834
825	0.3597651353
826	0.3597356463
827	0.3596710515
828	0.3596123266
829	0.3595359647
830	0.359470134
831	0.3594265941
832	0.3593823605
833	0.3593282413
834	0.3592121387
835	0.3591523744
836	0.3590707321
837	0.3589726324
838	0.3588872266
839	0.3588062307
840	0.3587591328
841	0.35868423
842	0.3585956791
843	0.3585540561
844	0.3584815415
845	0.3584315509
846	0.3583470162
847	0.358219596
848	0.3581350612
849	0.3580544031
850	0.3579734314
851	0.3579341665
852	0.3578351402
853	0.3578088528
854	0.3577333327
855	0.3576043387
856	0.3575591699
857	0.3575178855
858	0.3574092548
859	0.3573696836
860	0.3573220239
861	0.3572967481
862	0.3572297946
863	0.3571665751
864	0.3571133828
865	0.3570444631
866	0.3569693366
867	0.3569292031
868	0.3568789294
869	0.3567929062
870	0.3567043829
871	0.3566117032
872	0.3564838064
873	0.3563056084
874	0.356235762
875	0.3561887484
876	0.3561174132
877	0.356071886
878	0.3560437171
879	0.355948425
880	0.3558574583
881	0.3557876958
882	0.3557195052
883	0.3555900354
884	0.3555406625
885	0.3553947342
886	0.3553267419
887	0.3552697018
888	0.3551626435
889	0.3550641501
890	0.3550057056
891	0.3549031717
892	0.3548582089
893	0.3548203221
894	0.3547457012
895	0.3546846789
896	0.3546194371
897	0.3545851739
898	0.3545345092
899	0.3544279279
900	0.3543718147
901	0.3542707092
902	0.3542005815
903	0.3541267463
904	0.3540572364
905	0.3539419762
906	0.35389445
907	0.3538248553
908	0.3537304572
909	0.3535928126
910	0.3535176019
911	0.3534565715
912	0.353371081
913	0.3532638246
914	0.3532143392
915	0.353150867
916	0.3530952854
917	0.3530603174
918	0.3529967901
919	0.3528996444
920	0.3528516195
921	0.3527807041
922	0.3527198161
923	0.3525992192
924	0.3525602937
925	0.3524950805
926	0.3524467749
927	0.3523529441
928	0.3522878414
929	0.3521902182
930	0.3520946177
931	0.351996967
932	0.3519397582
933	0.3518814537
934	0.3518063264
935	0.3517498762
936	0.3516739067
937	0.3515706677
938	0.3515417138
939	0.3514928467
940	0.3514147713
941	0.3513173208
942	0.3512541859
943	0.3512190785
944	0.3511383071
945	0.3510653422
946	0.3509845722
947	0.3508928481
948	0.3508462277
949	0.350747903
950	0.3507130499
951	0.3506741806
952	0.3506154553
953	0.3505450466
954	0.3504547819
955	0.3503728864
956	0.3502940525
957	0.3502496794
958	0.3501830343
959	0.350058731
960	0.3499981236
961	0.3499517859
962	0.3498482626
963	0.3497460921
964	0.3496527504
965	0.3496058207
966	0.3495035078
967	0.3494053524
968	0.3493252553
969	0.3492784662
970	0.3491974118
971	0.3490795117
972	0.3489861027
973	0.3489168461
974	0.3488399225
975	0.3487567623
976	0.3486529836
977	0.3485571979
978	0.3485303489
979	0.3484295529
980	0.3483359186
981	0.3482252352
982	0.348152549
983	0.3480799225
984	0.3480440021
985	0.3479999631
986	0.3479134907
987	0.3478767561
988	0.3478363982
989	0.3477593622
990	0.3477000475
991	0.3476236838
992	0.347556587
993	0.3475157521
994	0.3474203486
995	0.3473790082
996	0.3472915801
997	0.3472433588
998	0.3471813189
999	0.3470996491
